"country","UNNC","UCAC","GCCP"
"Afghanistan",5.82,0.2155,87.19
"Albania",35.59,0.2414,106.41
"Algeria",8.24,0.2017,108.85
"Angola",4.21,0.1693,95.28
"Antigua and Barbuda",1.72,0.0519,86.29
"Argentina",34.44,0.7597,89.77
"Armenia",178.53,0.171,72.8
"Australia",45.08,1.2574,99.65
"Austria",81.16,0.1568,96.52
"Azerbaijan",50.55,0.2365,121.7
"Bahamas",165.76,0.0311,100.14
"Bahrain",386.69,0.0029,87.82
"Bangladesh",147.8,0.0558,104.15
"Barbados",28.77,0.0279,114.14
"Belarus",69.53,0.616,91.55
"Belgium",200,0.0761,85.29
"Belize",87.74,0.3185,90.07
"Benin",14.14,0.296,107.29
"Bhutan",15.08,0.1326,85.86
"Bolivia (Plurinational State of)",3.9,0.4164,103.18
"Bosnia and Herzegovina",61.52,0.3397,132.16
"Botswana",48.34,0.1161,126.97
"Brazil",72.33,0.3032,107.1
"Brunei Darussalam",24.3,0.0233,95.73
"Bulgaria",93.45,0.5149,110.98
"Burkina Faso",9.22,0.311,98.82
"Burundi",8.68,0.1387,112.96
"Cambodia",30.5,0.2579,110.41
"Cameroon",6,0.3073,92.24
"Canada",71.26,1.0482,103.39
"Central African Republic",0.05,0.4029,103.63
"Chile",122.34,0.0897,107.83
"China",208.48,0.093,102.77
"China, mainland",208.64,0.0945,102.75
"China, Taiwan Province of",181.75,0.0333,105.47
"Colombia",49.57,0.1992,94.62
"Congo",0.52,0.1197,95.3
"Cook Islands",7.8,0.0856,98.96
"Costa Rica",165.17,0.1165,101
"Côte d'Ivoire",4.62,0.3191,108.29
"Croatia",113.49,0.2108,102.71
"Cuba",11.24,0.3141,91.88
"Cyprus",59.66,0.1096,84.4
"Czechia",138.88,0.2375,87.32
"Democratic People's Republic of Korea",70.36,0.0995,89.74
"Democratic Republic of the Congo",0.63,0.1825,98
"Denmark",92.56,0.4207,74.66
"Dominica",2.18,0.3211,97.82
"Dominican Republic",72.76,0.1159,113.64
"Ecuador",93.43,0.1378,88.88
"Egypt",322.37,0.0392,90.59
"El Salvador",61.61,0.1372,102.62
"Eritrea",6.72,0.2004,97
"Estonia",56.33,0.5216,70.76
