"country","CO2","UNNC","UCAC","GCCP","OR","DGCC","DOCC"
"Afghanistan",0.224,5.82,0.2155,87.19,0.00197574528472456,0.000398750264234478,-0.851778290140972
"Albania",1.642,35.59,0.2414,106.41,1.58530866740542,0.00144882930308716,-0.382260010174607
"Algeria",3.824,8.24,0.2017,108.85,15.6479719279686,0.102662182570686,-0.452230751025711
"Angola",0.791,4.21,0.1693,95.28,26.3342151109984,0.00268785294703156,-0.691762210609664
"Antigua and Barbuda",5.176,1.72,0.0519,86.29,0,0,1.3220820987654
"Argentina",4.082,34.44,0.7597,89.77,1.39460030263589,0.10900307022264,-0.183592370676842
"Armenia",1.974,178.53,0.171,72.8,0,0.0813612247408164,-0.76035041937811
"Australia",16.708,45.08,1.2574,99.65,0.31501827872077,0.175953119632722,1.1531327449461
"Austria",7.486,81.16,0.1568,96.52,0.0437926677567654,0.0971735275510238,0.427993480890723
"Azerbaijan",3.703,50.55,0.2365,121.7,25.3091011620029,0.102686048817119,-0.444310885097707
"Bahrain",20.778,386.69,0.0029,87.82,11.0840766774168,0.989991926178805,0.836347091401408
"Bangladesh",0.512,147.8,0.0558,104.15,0.026184197832054,0.0182645228775939,-0.840804219932325
"Barbados",4.31,28.77,0.0279,114.14,0.29419719379581,0.00685208007553527,0.741769083801508
"Belarus",6.449,69.53,0.616,91.55,0.835525727381268,0.191664910593148,-0.251624135865458
"Belgium",8.729,200,0.0761,85.29,0,0.153502989400513,1.69237407009486
"Belize",1.578,87.74,0.3185,90.07,0.645121900098164,0,-0.417196508300116
"Benin",0.632,14.14,0.296,107.29,0.130486480076081,0.000160608087534379,-0.704159955476923
"Bhutan",1.903,15.08,0.1326,85.86,0,0,-0.65043430608914
"Bosnia and Herzegovina",6.641,61.52,0.3397,132.16,0,0.00659616226739953,-0.43193845302323
"Botswana",3.354,48.34,0.1161,126.97,0,0,-0.473659001816181
"Brazil",2.309,72.33,0.3032,107.1,2.0159800649676,0.0164355471089936,-0.249414268126962
"Bulgaria",6.188,93.45,0.5149,110.98,0.0226288279568553,0.0431003611873923,-0.310284224149294
"Burkina Faso",0.218,9.22,0.311,98.82,0,0,-0.833023662322372
"Burundi",0.061,8.68,0.1387,112.96,0,0,-0.866004970780443
"Cambodia",0.792,30.5,0.2579,110.41,0,0,-0.731684858873492
"Cameroon",0.315,6,0.3073,92.24,3.01562742741433,0.00420821378125509,-0.817568907314994
"Canada",15.63,71.26,1.0482,103.39,1.78050653634303,0.32595701794312,2.04967155645469
"Central African Republic",0.047,0.05,0.4029,103.63,0,0,-0.851477828576145
"Chile",4.507,122.34,0.0897,107.83,0.0150647720762657,0.027859805076646,-0.0439443678051219
"China",7.208,208.48,0.093,102.77,0.433930309335748,0.0194678413589787,-0.449271910188382
"Colombia",1.709,49.57,0.1992,94.62,3.87765027642574,0.0216058259622777,-0.58620514968404
"Costa Rica",1.645,165.17,0.1165,101,0,0,-0.360455985287325
"Croatia",4.258,113.49,0.2108,102.71,0.329616811853371,0.0652618444428034,-0.131285456890471
"Cuba",1.994,11.24,0.3141,91.88,0.643466631284228,0.00832969457377768,-0.276235115991064
"Cyprus",6.172,59.66,0.1096,84.4,0,0,1.04347391811848
"Denmark",6.028,92.56,0.4207,74.66,0.487437286171954,0.0494657003763705,0.318079227480297
"Dominica",2.251,2.18,0.3211,97.82,0,0,-0.139802549891229
"Dominican Republic",2.418,72.76,0.1159,113.64,0,0.0115032066600527,-0.300531760351495
"Ecuador",2.22,93.43,0.1378,88.88,7.16632924901327,0.00197347956523371,-0.216946783101434
"El Salvador",0.992,61.61,0.1372,102.62,0,0,-0.540209147452393
"Estonia",13.564,56.33,0.5216,70.76,0.356249631748285,0.0369619295699723,0.104494346820747
"Ethiopia",0.148,23.47,0.1639,97.73,0,0,-0.844453145931035
"Fiji",1.53,21.38,0.159,103,0,0,-0.0936126466539449
"Finland",8.302,61.59,0.4069,79.72,0,0.0455472272644099,0.772298503734669
"France",4.96,114.21,0.2944,96.19,0.00837614758843157,0.0577768591541533,0.205350722861028
"Gabon",2.246,12.55,0.2336,95.17,20.0786791737458,0.016637313438962,-0.520490608383936
"Georgia",2.524,34.29,0.1085,103.82,0.05153740022481,0.058638078006999,-0.537505350935527
"Germany",9.072,112.51,0.1435,80.94,0.0157707639858321,0.108585587181098,0.331464973220518
"Ghana",0.56,12.48,0.1755,105.72,4.49105418701517,0.00509926520974688,-0.743994396679595
"Greece",6.824,55.61,0.3066,101.32,0.0289174335285405,0.0435414467811124,0.317923283674284
"Guatemala",1.081,84.52,0.1186,92.71,0.195061191816103,0,-0.611052479742008
"Guinea",0.297,1.86,0.3061,106.8,0,0,-0.809063936039866
"Guyana",3.185,42.16,0.6033,103.92,0,0,-0.0319153299021028
